T50,T90,Epk_bisector
1.792,5.184,90.78205302
68.61,208.6,81.4704284
1.28,3.136,1595.879147
47.1,90.18,199.5262315
306.4,430,134.5860354
41.73,98.18,52.36004366
29.63,381.2,43.65158322
48.64,75.01,133.3521432
33.79,61.95,191.4255925
95.23,182,154.525444
0.218,0.315,219.2804935
6.72,50.82,688.6522963
419,454,50.69907083
8.384,17.02,143.2187899
12.86,24.77,75.33555637
3.2,7.232,74.81695005
0.056,0.132,117.4897555
20.29,62.66,879.0225168
0.042,0.085,928.9663868
203.8,292.7,69.66265141
18.82,45.7,41.11497211
0.597,1.173,401.7908108
6.272,29.7,179.4733627
57.02,73.09,157.0362804
22.78,29.18,92.25714272
61.44,221.2,281.190083
5.504,12.35,63.38697113
0.256,0.448,325.0872974
10.3,26.43,304.789499
30.21,40.51,237.6840287
6.656,28.54,305.4921113
0.192,0.384,1230.268771
28.48,80.83,578.0960474
21.44,41.15,325.0872974
0.03,0.067,721.1074792
0.32,0.96,696.6265141
0.111,0.455,548.2769649
13.76,50.62,112.7197456
52.35,146.9,188.3649089
0.768,1.536,625.1726928
36.99,106.1,220.8004733
10.37,25.6,154.8816619
2.88,5.056,121.8989599
29.57,123.4,119.9499303
35.46,85.44,85.50667129
5.312,15.55,80.72350302
0.014,0.034,1264.736347
0.128,0.256,133.6595517
3.072,15.17,114.2878335
4.864,13.82,99.31160484
8.832,37.7,338.8441561
3.968,15.42,365.5947916
37.7,82.18,69.66265141
12.1,31.1,57.01642723
0.072,0.152,2449.063242
0.019,0.067,1124.604974
0.128,0.32,151.3561248
0.039,0.1,4528.975799
1.472,4.864,66.22165037
4.992,33.73,83.17637711
31.74,46.66,831.7637711
0.448,0.896,1202.264435
0.036,0.183,1137.627286
3.52,12.67,54.20008904
2.496,6.592,116.6809617
1.216,4.288,578.0960474
17.92,32,37.6703799
2.176,4.864,156.3147643
0.256,0.512,473.151259
13.7,36.22,110.6623784
9.792,14.4,280.5433638
0.115,0.25,587.4893525
1.92,4.16,809.0958992
19.97,34.18,995.4054174
8.64,22.53,129.7179271
0.058,0.119,1468.926278
0.27,0.413,293.7649652
57.54,179.8,114.5512941
30.66,56.06,128.528666
13.89,26.88,255.8585887
0.832,1.472,243.7810818
8.576,20.74,145.5459081
8,18.18,76.73614894
16.83,59.58,145.2111618
6.016,20.67,125.8925412
33.28,102.1,46.23810214
5.504,20.16,287.0780582
13.12,27.46,74.47319739
18.43,77.82,372.3917063
0.03,0.055,2290.867653
20.54,53.89,1172.195366
2.88,10.94,58.88436554
15.68,72.51,60.53408748
4.992,11.14,226.4644308
2.112,3.2,96.16122784
5.76,62.53,78.88601176
22.78,45.89,212.3244462
10.94,37.18,57.80960474
0.063,0.183,1963.360277
0.448,1.792,1485.935642
5.376,12.48,318.4197522
1.792,5.44,120.2264435
3.968,18.24,84.52788452
1.984,6.464,244.3430553
40.13,81.47,209.8939884
7.808,20.8,75.33555637
20.67,60.99,75.1622894
0.091,0.303,129.4195841
21.31,58.43,120.7813835
0.052,0.173,91.83325965
4.416,7.232,172.5837892
0.256,1.28,256.4484037
10.24,25.41,54.32503315
23.81,90.94,25.70395783
16.38,31.68,447.7133042
15.36,40.13,47.86300923
22.27,74.88,178.6487575
6.016,17.34,74.64487584
0.06,0.131,731.1390835
0.768,1.088,127.0574105
0.256,0.32,317.6874071
51.14,76.54,613.7620052
5.76,17.41,131.5224832
0.896,2.368,721.1074792
0.128,0.896,110.9174815
1.485,2.614,623.7348355
19.33,110.5,274.7894153
0.256,0.384,1282.330583
0.223,0.398,461.3175746
107.9,158.1,103.038612
0.32,0.832,141.2537545
2.176,6.656,113.5010816
9.152,27.97,39.44573021
0.196,0.801,1104.07862
0.908,1.438,441.5704474
9.152,30.98,63.24118514
2.624,4.992,582.1032178
27.01,48.51,275.4228703
22.21,89.98,266.072506
1.728,3.2,563.6376558
0.768,6.656,347.5361614
275.6,356.7,139.9587323
0.896,2.624,128.2330583
32.83,100.1,91.62204901
7.488,42.69,60.11737375
17.15,25.02,44.87453899
