name,t90,t50
GRB101225A,1088.0000,0.0000
GRB060218,1040.0000,255.0000
GRB111209A,828.6000,252.3900
GRB121217A,778.4000,443.1200
GRB060124,658.2000,64.0000
GRB111016A,547.4800,108.7600
GRB060605,539.1200,21.4400
GRB100316D,518.6600,314.9400
GRB100606A,480.0000,64.0000
GRB100802A,472.6000,367.1600
GRB090419,460.6700,309.3300
GRB070129,459.0500,272.5400
GRB100901A,436.4400,192.3100
GRB071129,430.1300,173.3200
GRB070616,406.8200,203.8400
GRB100625A,385.5400,184.5800
GRB110801A,385.2700,329.4800
GRB070704,377.5800,64.7400
GRB111215A,374.2700,157.9000
GRB070612A,365.2800,189.1400
GRB090929B,361.6000,230.7100
GRB100902A,356.4200,74.4700
GRB080310,352.3700,250.4000
GRB121209A,339.1400,118.7900
GRB070721B,336.8600,251.0100
GRB090509,336.3800,239.5400
GRB070107,333.7600,38.6700
GRB121123A,324.5000,62.0200
GRB081017,320.0000,320.0000
GRB090407,315.4400,183.4100
GRB090727,301.8700,244.8600
GRB080207,290.0000,105.0000
GRB111123A,290.0000,81.0000
GRB071018,288.0000,160.0000
GRB081028,284.4200,135.0000
GRB090417B,282.4900,153.9900
GRB060526,275.2000,249.2600
GRB081029,275.0500,96.3800
GRB110205A,266.6800,103.4300
GRB090715B,265.3900,64.0800
GRB110102A,263.8000,81.4500
GRB060510B,262.9500,129.7800
GRB110820A,258.5500,244.8400
GRB120119A,253.8400,25.2700
GRB060210,242.1800,49.8600
GRB071025,241.3000,53.6600
GRB070419B,238.1400,70.0600
GRB080928,233.6600,44.8200
GRB110210A,233.6000,98.8200
GRB060322,229.5800,170.7900
GRB071021,228.7200,56.7900
GRB121031A,226.2000,195.8000
GRB100614A,225.0000,79.0000
GRB081203A,223.0000,43.0000
GRB081109,221.4900,34.9600
GRB110414A,220.0000,53.0000
GRB050507,217.6000,123.2000
GRB110119A,214.4100,110.9500
GRB070306,209.2400,18.5500
GRB090516,208.0000,80.0000
GRB100725B,199.7600,73.0200
GRB100915A,198.6600,53.1200
GRB100728A,198.5500,72.5100
GRB100704A,192.8100,147.3300
GRB100413A,191.1800,105.2900
GRB051001,190.6300,66.1200
GRB090712,186.6800,48.7200
GRB090401B,186.5100,7.7100
GRB090429A,184.0000,78.0000
GRB060507,183.3100,114.3500
GRB121211A,182.7100,76.7200
GRB050904,181.7000,84.8200
GRB120624B,179.7800,130.2700
GRB080802,179.5200,81.6000
GRB081008,179.5200,111.1100
GRB101020A,177.2800,72.9600
GRB041224,177.1700,37.6800
GRB080721,176.2900,7.0600
GRB061019,174.7400,165.0600
GRB100814A,174.7200,97.2000
GRB091026,174.0000,36.0000
GRB060202,172.1600,121.6000
GRB060904B,171.9000,145.9200
GRB070429A,168.0000,74.0000
GRB050117,166.6500,83.5100
GRB120811A,166.0000,23.1300
GRB090410,165.1400,99.2100
GRB100212A,164.9700,84.7100
GRB120714B,163.7400,52.1400
GRB080325,162.8200,67.3100
GRB111103B,162.1600,31.6200
GRB120922A,161.3800,94.9800
GRB060516,161.2300,88.6700
GRB070419A,160.0000,80.0000
GRB080503,159.7800,49.6600
GRB120514A,158.7800,60.1500
GRB070911,158.4600,66.2000
GRB050306,158.4300,73.7200
GRB081022,157.5800,53.5700
GRB050922B,156.2900,31.8200
GRB110407A,154.9300,71.2100
GRB080506,152.1400,102.5300
GRB050319,151.7400,124.5700
GRB071031,150.4900,114.2400
GRB071003,148.3800,18.6500
GRB080906,148.1900,40.6600
GRB121001A,147.8000,56.5400
GRB090807A,146.3600,69.6200
GRB081210,145.9100,14.8000
GRB050730,145.0500,59.8700
GRB071227,144.9800,79.1000
GRB060814,144.9500,61.6200
GRB050814,144.0000,48.0000
GRB070220,144.0000,32.0000
GRB100725A,140.9000,54.8600
GRB060204B,139.4600,24.5300
GRB051117A,136.8500,58.5400
GRB090912,135.5200,70.8700
GRB101213A,134.9100,34.1100
GRB061110B,132.7600,57.0000
GRB070318,131.5200,35.0800
GRB091130B,130.9100,31.8900
GRB121117A,130.8200,43.5200
GRB120401A,130.2800,61.1100
GRB061006,129.7900,55.7400
GRB090904A,129.5300,20.9400
GRB120913B,125.3800,53.8700
GRB080319B,124.8600,25.8000
GRB080307,122.2200,45.2300
GRB060115,122.2100,91.8500
GRB050713B,122.0300,31.8700
GRB120324A,119.5500,31.0400
GRB060211A,118.2000,80.0400
GRB111121A,117.7600,50.8500
GRB120521B,117.4400,48.8300
GRB080212,117.3800,46.6000
GRB060413,117.3300,35.7500
GRB090401A,117.0000,25.2200
