Results from heasarc_batsegrb: CGRO/BATSE Gamma-Ray Burst Catalog
Coordinate system:  Equatorial
 trigger_num t90      fluence_1  fluence_2  fluence_3  fluence_4  
       02052 NaN NaN NaN NaN NaN 
       07980    0.240 7.8013e-09 2.3041e-08 1.0077e-07 8.3804e-08 
       06405   30.144 3.2137e-07 3.9933e-07 9.0284e-07 1.4948e-06 
       03875    8.384 3.5286e-07 2.8148e-07 3.2130e-07 1.2471e-07 
       06497    3.328 1.4629e-08 2.5923e-08 1.6648e-07 2.2793e-07 
       01579   73.472 2.2775e-07 4.6581e-07 3.1774e-06 1.4528e-05 
       06404   36.992 2.2015e-06 3.8240e-06 1.0181e-05 7.8071e-06 
       05637   13.184 3.4364e-07 3.4595e-07 9.3955e-07 2.6273e-06 
       07515  328.448 2.9513e-06 2.0970e-06 5.2295e-06 1.3588e-05 
       02590 NaN NaN NaN NaN NaN 
       01608 NaN NaN NaN NaN NaN 
       01306    7.296 1.4293e-07 1.2444e-07 1.8113e-07 3.2798e-07 
       01590   69.504 1.0578e-06 8.2632e-07 1.2134e-06 0.0000e+00 
       03255   34.880 3.9413e-06 3.4138e-06 6.1144e-06 3.3134e-06 
       03590 NaN NaN NaN NaN NaN 
       01303   21.248 2.1192e-07 2.4633e-07 1.1846e-06 1.2733e-05 
       00761   81.472 2.1954e-06 4.1183e-06 1.1683e-05 1.5457e-05 
       05733    0.675 5.6706e-09 1.1378e-08 3.7002e-08 4.5800e-08 
       07113   33.024 2.0721e-05 3.3014e-05 1.3913e-04 2.8794e-04 
       02395    0.128 4.1830e-10 9.0176e-09 3.1302e-08 2.1624e-08 
       03322   26.720 7.5962e-08 2.1349e-07 6.4744e-07 2.0529e-07 
       07156 NaN NaN NaN NaN NaN 
       05629 NaN 3.3893e-06 5.4310e-06 1.7980e-05 1.5303e-05 
       07560   68.032 3.2509e-06 3.9237e-06 8.0432e-06 5.3961e-06 
       03639 NaN 6.6665e-07 6.8028e-07 1.9302e-06 2.4867e-06 
       02145    0.768 3.3890e-09 9.8610e-09 4.6064e-08 1.3044e-07 
       02375   67.840 3.2341e-07 3.7886e-07 2.4787e-06 2.9939e-06 
       07939    1.039 2.2530e-07 4.0968e-07 1.0276e-06 3.5734e-07 
       05456    3.904 9.7238e-08 1.7241e-07 4.8803e-07 4.8162e-07 
       05547    0.896 3.0062e-08 1.8365e-08 2.8414e-07 1.7416e-06 
       06342   11.712 5.8312e-09 7.5910e-09 4.7589e-08 8.5221e-08 
       03374    2.284 1.5267e-08 2.5023e-08 9.8010e-08 4.7630e-07 
       05457 NaN 5.3773e-07 7.8532e-07 2.4402e-06 8.0601e-06 
       01887 NaN NaN NaN NaN NaN 
       06476 NaN 1.0687e-06 1.1646e-06 4.9569e-06 4.4070e-05 
       07491   49.472 9.0369e-06 1.3920e-05 6.8110e-05 2.1686e-04 
       02987    0.640 0.0000e+00 2.6169e-08 6.3579e-08 3.2336e-07 
       06244   70.976 5.9918e-07 7.8366e-07 1.3899e-06 4.0787e-06 
       07900   60.800 3.8702e-07 6.9926e-07 2.8230e-06 4.1088e-06 
       04744    0.128 4.9026e-09 1.1568e-08 3.8154e-08 8.9304e-08 
       06593   31.232 4.5184e-06 5.2889e-06 1.8775e-05 2.7480e-05 
